p1	p2	agree	ministry	c
2	3	130	Beskæftigelsesministeriet	199
3	3	199	Beskæftigelsesministeriet	199
4	3	178	Beskæftigelsesministeriet	199
5	3	162	Beskæftigelsesministeriet	199
6	3	71	Beskæftigelsesministeriet	199
7	3	160	Beskæftigelsesministeriet	199
14	3	142	Beskæftigelsesministeriet	199
1	4	199	Beskæftigelsesministeriet	199
2	4	146	Beskæftigelsesministeriet	199
3	4	178	Beskæftigelsesministeriet	199
4	4	199	Beskæftigelsesministeriet	199
5	4	183	Beskæftigelsesministeriet	199
6	4	53	Beskæftigelsesministeriet	199
7	4	181	Beskæftigelsesministeriet	199
14	4	160	Beskæftigelsesministeriet	199
1	5	183	Beskæftigelsesministeriet	199
2	5	147	Beskæftigelsesministeriet	199
3	5	162	Beskæftigelsesministeriet	199
4	5	183	Beskæftigelsesministeriet	199
5	5	199	Beskæftigelsesministeriet	199
6	5	37	Beskæftigelsesministeriet	199
7	5	196	Beskæftigelsesministeriet	199
14	5	174	Beskæftigelsesministeriet	199
1	6	53	Beskæftigelsesministeriet	199
2	6	76	Beskæftigelsesministeriet	199
3	6	71	Beskæftigelsesministeriet	199
4	6	53	Beskæftigelsesministeriet	199
5	6	37	Beskæftigelsesministeriet	199
6	6	199	Beskæftigelsesministeriet	199
7	6	35	Beskæftigelsesministeriet	199
14	6	27	Beskæftigelsesministeriet	199
1	7	181	Beskæftigelsesministeriet	199
2	7	145	Beskæftigelsesministeriet	199
3	7	160	Beskæftigelsesministeriet	199
4	7	181	Beskæftigelsesministeriet	199
5	7	196	Beskæftigelsesministeriet	199
6	7	35	Beskæftigelsesministeriet	199
7	7	199	Beskæftigelsesministeriet	199
14	7	177	Beskæftigelsesministeriet	199
1	14	160	Beskæftigelsesministeriet	199
2	14	135	Beskæftigelsesministeriet	199
3	14	142	Beskæftigelsesministeriet	199
4	14	160	Beskæftigelsesministeriet	199
5	14	174	Beskæftigelsesministeriet	199
6	14	27	Beskæftigelsesministeriet	199
7	14	177	Beskæftigelsesministeriet	199
14	14	199	Beskæftigelsesministeriet	199
1	1	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
2	1	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
3	1	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
4	1	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
5	1	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
6	1	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
7	1	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
14	1	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
1	2	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
2	2	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
3	2	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
4	2	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
5	2	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
6	2	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
7	2	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
14	2	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
1	3	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
2	3	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
3	3	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
4	3	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
5	3	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
6	3	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
7	3	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
14	3	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
1	4	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
2	4	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
3	4	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
4	4	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
5	4	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
6	4	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
7	4	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
14	4	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
1	5	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
2	5	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
3	5	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
4	5	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
5	5	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
6	5	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
7	5	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
14	5	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
1	6	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
2	6	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
3	6	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
4	6	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
5	6	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
6	6	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
7	6	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
14	6	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
1	7	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
2	7	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
3	7	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
4	7	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
5	7	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
6	7	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
7	7	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
14	7	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
1	14	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
2	14	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
3	14	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
4	14	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
5	14	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
6	14	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
7	14	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
14	14	1	Beskæftigelsesministeriet, Forsvarsministeriet	1
1	1	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
2	1	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
3	1	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
4	1	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
5	1	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
6	1	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
7	1	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
14	1	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
1	2	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
2	2	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
3	2	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
4	2	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
5	2	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
6	2	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
7	2	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
14	2	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
1	3	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
2	3	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
3	3	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
4	3	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
5	3	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
6	3	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
7	3	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
14	3	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
1	4	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
2	4	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
3	4	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
4	4	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
5	4	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
6	4	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
7	4	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
14	4	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
1	5	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
2	5	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
3	5	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
4	5	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
5	5	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
6	5	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
7	5	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
14	5	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
1	6	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
2	6	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
3	6	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
4	6	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
5	6	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
6	6	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
7	6	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
14	6	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
1	7	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
2	7	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
3	7	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
4	7	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
5	7	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
6	7	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
7	7	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
14	7	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
1	14	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
2	14	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
3	14	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
4	14	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
5	14	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
6	14	0	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
7	14	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
14	14	1	Beskæftigelsesministeriet, Ministeriet for Børn og Undervisning	1
1	1	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
2	1	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
3	1	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
4	1	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
5	1	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
6	1	2	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
7	1	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
14	1	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
1	2	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
2	2	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
3	2	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
4	2	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
5	2	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
6	2	0	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
7	2	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
14	2	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
1	3	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
2	3	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
3	3	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
4	3	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
5	3	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
6	3	2	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
7	3	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
14	3	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
1	4	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
2	4	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
3	4	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
4	4	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
5	4	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
6	4	2	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
7	4	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
14	4	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
1	5	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
2	5	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
3	5	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
4	5	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
5	5	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
6	5	0	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
7	5	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
14	5	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
1	6	2	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
2	6	0	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
3	6	2	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
4	6	2	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
5	6	0	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
6	6	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
7	6	0	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
14	6	0	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
1	7	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
2	7	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
3	7	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
4	7	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
5	7	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
6	7	0	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
7	7	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
14	7	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
1	14	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
2	14	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
3	14	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
4	14	1	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
5	14	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
6	14	0	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
7	14	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
14	14	3	Beskæftigelsesministeriet, Social- og Integrationsministeriet	3
1	1	100	Erhvervs- og Vækstministeriet	100
2	1	74	Erhvervs- og Vækstministeriet	100
3	1	79	Erhvervs- og Vækstministeriet	100
4	1	100	Erhvervs- og Vækstministeriet	100
5	1	89	Erhvervs- og Vækstministeriet	100
6	1	54	Erhvervs- og Vækstministeriet	100
7	1	86	Erhvervs- og Vækstministeriet	100
14	1	65	Erhvervs- og Vækstministeriet	100
1	2	74	Erhvervs- og Vækstministeriet	100
2	2	100	Erhvervs- og Vækstministeriet	100
3	2	61	Erhvervs- og Vækstministeriet	100
4	2	74	Erhvervs- og Vækstministeriet	100
5	2	77	Erhvervs- og Vækstministeriet	100
6	2	43	Erhvervs- og Vækstministeriet	100
7	2	80	Erhvervs- og Vækstministeriet	100
14	2	60	Erhvervs- og Vækstministeriet	100
1	3	79	Erhvervs- og Vækstministeriet	100
2	3	61	Erhvervs- og Vækstministeriet	100
3	3	100	Erhvervs- og Vækstministeriet	100
4	3	79	Erhvervs- og Vækstministeriet	100
5	3	68	Erhvervs- og Vækstministeriet	100
6	3	70	Erhvervs- og Vækstministeriet	100
7	3	67	Erhvervs- og Vækstministeriet	100
14	3	50	Erhvervs- og Vækstministeriet	100
1	4	100	Erhvervs- og Vækstministeriet	100
2	4	74	Erhvervs- og Vækstministeriet	100
3	4	79	Erhvervs- og Vækstministeriet	100
4	4	100	Erhvervs- og Vækstministeriet	100
5	4	89	Erhvervs- og Vækstministeriet	100
6	4	54	Erhvervs- og Vækstministeriet	100
7	4	86	Erhvervs- og Vækstministeriet	100
14	4	65	Erhvervs- og Vækstministeriet	100
1	5	89	Erhvervs- og Vækstministeriet	100
2	5	77	Erhvervs- og Vækstministeriet	100
3	5	68	Erhvervs- og Vækstministeriet	100
4	5	89	Erhvervs- og Vækstministeriet	100
5	5	100	Erhvervs- og Vækstministeriet	100
6	5	45	Erhvervs- og Vækstministeriet	100
7	5	95	Erhvervs- og Vækstministeriet	100
14	5	68	Erhvervs- og Vækstministeriet	100
1	6	54	Erhvervs- og Vækstministeriet	100
2	6	43	Erhvervs- og Vækstministeriet	100
3	6	70	Erhvervs- og Vækstministeriet	100
4	6	54	Erhvervs- og Vækstministeriet	100
5	6	45	Erhvervs- og Vækstministeriet	100
6	6	100	Erhvervs- og Vækstministeriet	100
7	6	46	Erhvervs- og Vækstministeriet	100
14	6	38	Erhvervs- og Vækstministeriet	100
1	7	86	Erhvervs- og Vækstministeriet	100
2	7	80	Erhvervs- og Vækstministeriet	100
3	7	67	Erhvervs- og Vækstministeriet	100
4	7	86	Erhvervs- og Vækstministeriet	100
5	7	95	Erhvervs- og Vækstministeriet	100
6	7	46	Erhvervs- og Vækstministeriet	100
7	7	100	Erhvervs- og Vækstministeriet	100
14	7	66	Erhvervs- og Vækstministeriet	100
1	14	65	Erhvervs- og Vækstministeriet	100
2	14	60	Erhvervs- og Vækstministeriet	100
3	14	50	Erhvervs- og Vækstministeriet	100
4	14	65	Erhvervs- og Vækstministeriet	100
5	14	68	Erhvervs- og Vækstministeriet	100
6	14	38	Erhvervs- og Vækstministeriet	100
7	14	66	Erhvervs- og Vækstministeriet	100
14	14	100	Erhvervs- og Vækstministeriet	100
1	1	4	Europaministeriet	4
2	1	1	Europaministeriet	4
3	1	4	Europaministeriet	4
4	1	4	Europaministeriet	4
5	1	4	Europaministeriet	4
6	1	1	Europaministeriet	4
7	1	4	Europaministeriet	4
14	1	1	Europaministeriet	4
1	2	1	Europaministeriet	4
2	2	4	Europaministeriet	4
3	2	1	Europaministeriet	4
4	2	1	Europaministeriet	4
5	2	1	Europaministeriet	4
6	2	4	Europaministeriet	4
7	2	1	Europaministeriet	4
14	2	3	Europaministeriet	4
1	3	4	Europaministeriet	4
2	3	1	Europaministeriet	4
3	3	4	Europaministeriet	4
4	3	4	Europaministeriet	4
5	3	4	Europaministeriet	4
6	3	1	Europaministeriet	4
7	3	4	Europaministeriet	4
14	3	1	Europaministeriet	4
1	4	4	Europaministeriet	4
2	4	1	Europaministeriet	4
3	4	4	Europaministeriet	4
4	4	4	Europaministeriet	4
5	4	4	Europaministeriet	4
6	4	1	Europaministeriet	4
7	4	4	Europaministeriet	4
14	4	1	Europaministeriet	4
1	5	4	Europaministeriet	4
2	5	1	Europaministeriet	4
3	5	4	Europaministeriet	4
4	5	4	Europaministeriet	4
5	5	4	Europaministeriet	4
6	5	1	Europaministeriet	4
7	5	4	Europaministeriet	4
14	5	1	Europaministeriet	4
1	6	1	Europaministeriet	4
2	6	4	Europaministeriet	4
3	6	1	Europaministeriet	4
4	6	1	Europaministeriet	4
5	6	1	Europaministeriet	4
6	6	4	Europaministeriet	4
7	6	1	Europaministeriet	4
14	6	3	Europaministeriet	4
1	7	4	Europaministeriet	4
2	7	1	Europaministeriet	4
3	7	4	Europaministeriet	4
4	7	4	Europaministeriet	4
5	7	4	Europaministeriet	4
6	7	1	Europaministeriet	4
7	7	4	Europaministeriet	4
14	7	1	Europaministeriet	4
1	14	1	Europaministeriet	4
2	14	3	Europaministeriet	4
3	14	1	Europaministeriet	4
4	14	1	Europaministeriet	4
5	14	1	Europaministeriet	4
6	14	3	Europaministeriet	4
7	14	1	Europaministeriet	4
14	14	4	Europaministeriet	4
1	1	242	Finansministeriet	242
2	1	109	Finansministeriet	242
3	1	241	Finansministeriet	242
4	1	242	Finansministeriet	242
5	1	157	Finansministeriet	242
6	1	209	Finansministeriet	242
7	1	122	Finansministeriet	242
14	1	101	Finansministeriet	242
1	2	109	Finansministeriet	242
2	2	242	Finansministeriet	242
3	2	109	Finansministeriet	242
4	2	109	Finansministeriet	242
5	2	140	Finansministeriet	242
6	2	111	Finansministeriet	242
7	2	117	Finansministeriet	242
14	2	75	Finansministeriet	242
1	3	241	Finansministeriet	242
2	3	109	Finansministeriet	242
3	3	242	Finansministeriet	242
4	3	241	Finansministeriet	242
5	3	156	Finansministeriet	242
6	3	209	Finansministeriet	242
7	3	121	Finansministeriet	242
14	3	100	Finansministeriet	242
1	4	242	Finansministeriet	242
2	4	109	Finansministeriet	242
3	4	241	Finansministeriet	242
4	4	242	Finansministeriet	242
5	4	157	Finansministeriet	242
6	4	209	Finansministeriet	242
7	4	122	Finansministeriet	242
14	4	101	Finansministeriet	242
1	5	157	Finansministeriet	242
2	5	140	Finansministeriet	242
3	5	156	Finansministeriet	242
4	5	157	Finansministeriet	242
5	5	242	Finansministeriet	242
6	5	124	Finansministeriet	242
7	5	180	Finansministeriet	242
14	5	117	Finansministeriet	242
1	6	209	Finansministeriet	242
2	6	111	Finansministeriet	242
3	6	209	Finansministeriet	242
4	6	209	Finansministeriet	242
5	6	124	Finansministeriet	242
6	6	242	Finansministeriet	242
7	6	93	Finansministeriet	242
14	6	78	Finansministeriet	242
1	7	122	Finansministeriet	242
2	7	117	Finansministeriet	242
3	7	121	Finansministeriet	242
4	7	122	Finansministeriet	242
5	7	180	Finansministeriet	242
6	7	93	Finansministeriet	242
7	7	242	Finansministeriet	242
14	7	126	Finansministeriet	242
1	14	101	Finansministeriet	242
2	14	75	Finansministeriet	242
3	14	100	Finansministeriet	242
4	14	101	Finansministeriet	242
5	14	117	Finansministeriet	242
6	14	78	Finansministeriet	242
7	14	126	Finansministeriet	242
14	14	242	Finansministeriet	242
1	1	16	Folketinget	16
2	1	16	Folketinget	16
3	1	16	Folketinget	16
4	1	16	Folketinget	16
5	1	14	Folketinget	16
6	1	16	Folketinget	16
7	1	15	Folketinget	16
14	1	15	Folketinget	16
1	2	16	Folketinget	16
2	2	16	Folketinget	16
3	2	16	Folketinget	16
4	2	16	Folketinget	16
5	2	14	Folketinget	16
6	2	16	Folketinget	16
7	2	15	Folketinget	16
14	2	15	Folketinget	16
1	3	16	Folketinget	16
2	3	16	Folketinget	16
3	3	16	Folketinget	16
4	3	16	Folketinget	16
5	3	14	Folketinget	16
6	3	16	Folketinget	16
7	3	15	Folketinget	16
14	3	15	Folketinget	16
1	4	16	Folketinget	16
2	4	16	Folketinget	16
3	4	16	Folketinget	16
4	4	16	Folketinget	16
5	4	14	Folketinget	16
6	4	16	Folketinget	16
7	4	15	Folketinget	16
14	4	15	Folketinget	16
1	5	14	Folketinget	16
2	5	14	Folketinget	16
3	5	14	Folketinget	16
4	5	14	Folketinget	16
5	5	16	Folketinget	16
6	5	14	Folketinget	16
7	5	13	Folketinget	16
14	5	13	Folketinget	16
1	6	16	Folketinget	16
2	6	16	Folketinget	16
3	6	16	Folketinget	16
4	6	16	Folketinget	16
5	6	14	Folketinget	16
6	6	16	Folketinget	16
7	6	15	Folketinget	16
14	6	15	Folketinget	16
1	7	15	Folketinget	16
2	7	15	Folketinget	16
3	7	15	Folketinget	16
